timestamp,tool,temperature_C,tap_index,z_raw
2025-11-17T07:33:49,T1,150.0,2,-7.95375
2025-11-17T07:33:51,T1,150.0,3,-7.95875
2025-11-17T07:33:52,T1,150.0,4,-7.9475
2025-11-17T07:34:01,T1,160.0,2,-7.94625
2025-11-17T07:34:02,T1,160.0,3,-7.95125
2025-11-17T07:34:03,T1,160.0,4,-7.95
2025-11-17T07:34:11,T1,170.0,2,-7.9525
2025-11-17T07:34:12,T1,170.0,3,-7.95125
2025-11-17T07:34:13,T1,170.0,4,-7.95
2025-11-17T07:34:21,T1,180.0,2,-7.94625
2025-11-17T07:34:22,T1,180.0,3,-7.9475
2025-11-17T07:34:23,T1,180.0,4,-7.94875
2025-11-17T07:34:31,T1,190.0,2,-7.945
2025-11-17T07:34:32,T1,190.0,3,-7.95
